"pair_id","pair_label","source_group","family","genus","n_sequences","n_species","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_p90_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable"
"ZBJ_ART","ZBJ-Art","Coleoptera","Dytiscidae","Acilius",1,1,1,1,53.3,10.75,64.05,64.05,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Dytiscidae","Agabus",1,1,1,1,3.1,7.85,10.95,10.95,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Dytiscidae","Graphoderus",1,1,0,0,,0,,,,
"ZBJ_ART","ZBJ-Art","Coleoptera","Dytiscidae","Hygrotus",1,1,1,1,3.1,91,94.1,94.1,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Dytiscidae","Lancetes",2,2,0,0,,10.75,,,,
"ZBJ_ART","ZBJ-Art","Coleoptera","Dytiscidae","Limbodessus",5,5,1,0.2,448.5,102.6,592.92,592.92,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Dytiscidae","Mystonectes",1,1,1,1,306.49,133.15,439.64,439.64,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Dytiscidae","Porhydrus",1,1,1,1,245.9,16.85,262.75,262.75,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Dytiscidae","Scarodytes",1,1,1,1,301.8,84.9,386.7,386.7,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Elateridae","Athousius",1,1,1,1,450.19,37.05,487.24,487.24,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Elateridae","Cryptalaus",1,1,1,1,492.45,144.9,637.35,637.35,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Elateridae","Ludioschema",1,1,1,1,83.85,92.05,175.9,175.9,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Elateridae","Melanotus",1,1,1,1,92.75,0,92.75,92.75,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Gyrinidae","Dineutus",1,1,1,1,14.85,0,14.85,14.85,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Hydraenidae","Ochthebius",6,6,0,0,,140.975,,,,
"ZBJ_ART","ZBJ-Art","Coleoptera","Hydrophilidae","Cercyon",1,1,1,1,156.65,176.25,332.9,332.9,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Lampyridae","Diaphanes",2,2,2,1,12.425,51.525,63.95,112.55,0,0.5
"ZBJ_ART","ZBJ-Art","Coleoptera","Lampyridae","Emeia",1,1,1,1,3.2,36.55,39.75,39.75,0,0
